[0, 0, 0, 0, 0, 0, 0, 3, -5, -4, 3, 0, 0, 2, 0, 0, 0, 0, 0, 39]
[1, 0, 0, 0, 0, 0, -7, -6, 3, 24, -23, 21, 0, 1, 1, 0, 0, 0, 0, 13]
[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5]
[0, 0, 1, 0, 0, 0, -10, -14, 30, 22, -4, 29, 24, 19, 0, 0, 1, 0, 0, 82]
[0, 0, 0, 1, 0, 0, -8, -8, 2, 12, -6, 14, 16, 25, 0, 0, 0, 1, 0, 29]
[0, 0, 0, 0, 1, 0, 6, 15, 19, 4, 5, 19, 13, 7, 0, 0, 0, 0, 1, 80]


[0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 2, 4, 4, 5, 0, 0, 0, 0, 0, 52]
[1, 0, 0, 0, 0, 0, -6, -4, 0, 21, -22, 18, -2, 0, 1, 0, 0, 0, 0, 4]
[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5]
[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]
[0, 0, 0, 1, 0, 0, -8, -8, 0, 12, -6, 14, 16, 25, 0, 0, 0, 1, 0, 25]
[0, 0, 0, 0, 1, 0, 6, 15, 0, 4, 5, 19, 13, 7, 0, 0, 0, 0, 1, 42]


[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 3, 4, 4, 5, 0, 0, 0, 0, 0, 57]
[1, 0, 0, 0, 0, 6, 0, 2, 0, 21, -16, 18, -2, 0, 1, 0, 0, 0, 0, 34]
[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5]
[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]
[0, 0, 0, 1, 0, 8, 0, 0, 0, 12, 2, 14, 16, 25, 0, 0, 0, 1, 0, 65]
[0, 0, 0, 0, 1, -6, 0, 9, 0, 4, -1, 19, 13, 7, 0, 0, 0, 0, 1, 12]


